topic,term,beta
3,carnitas,1.710159658907267e-24
4,carnitas,5.419296393843474e-19
5,carnitas,9.56560299550107e-10
6,carnitas,2.991964223157926e-15
7,carnitas,7.742788140884208e-27
8,carnitas,1.0192457208681709e-22
9,carnitas,0.03595112800834262
10,carnitas,4.788908504832586e-48
1,pork,9.836501188818738e-27
2,pork,3.559651240567235e-32
3,pork,0.00797586494327956
4,pork,0.0067419942838652085
5,pork,9.286761202255736e-21
6,pork,8.515441790972275e-6
7,pork,1.7506860921374537e-15
8,pork,3.480561641240376e-11
9,pork,0.04767012807213148
10,pork,1.4203311379025743e-32
1,shrimp,7.121271730097719e-43
2,shrimp,7.818326186540064e-47
3,shrimp,0.005282249949797769
4,shrimp,0.0026284211961503843
5,shrimp,1.3478264577781934e-21
6,shrimp,2.6497277336712447e-6
7,shrimp,1.6960215278399843e-11
8,shrimp,4.6106264715536476e-4
9,shrimp,0.030246740405382215
10,shrimp,5.572548523618286e-38
1,golden,1.1171266925321578e-4
2,golden,0.030375846185959277
3,golden,1.3131363740242363e-35
4,golden,1.612436714812166e-58
5,golden,4.114826750423826e-42
6,golden,4.3509698763013155e-44
7,golden,7.919303808999773e-48
8,golden,1.1550173173151048e-48
9,golden,3.119395060937704e-59
10,golden,6.66518454538695e-83
1,marinated,1.3046304486923517e-40
2,marinated,0.035141743582350504
3,marinated,0.006276355421080567
4,marinated,0.004228397920322511
5,marinated,2.912252847915069e-15
6,marinated,0.004335490155578852
7,marinated,0.006488915817858495
8,marinated,2.8967382374184127e-18
9,marinated,7.635620009996699e-4
10,marinated,6.941060228022261e-4
1,sirloin,1.1554934857455153e-4
2,sirloin,0.03470135315431317
3,sirloin,6.924036707647992e-36
4,sirloin,7.936665834380582e-11
5,sirloin,3.455028130033029e-18
6,sirloin,9.716321727556732e-10
7,sirloin,4.710776754530333e-35
8,sirloin,1.877820688088323e-40
9,sirloin,7.730037497114442e-29
10,sirloin,5.860403439585683e-47
1,tots,3.8050740801209465e-73
2,tots,0.029578242673012668
3,tots,8.74225426203111e-55
4,tots,3.923468433751358e-73
5,tots,2.3624263865408986e-65
6,tots,3.345667585943264e-95
7,tots,1.1806057499517645e-86
8,tots,6.849271522175109e-54
9,tots,1.417516127528475e-72
10,tots,1.1280458135055889e-100
1,zesty,4.450713851448471e-72
2,zesty,0.02538132986130142
3,zesty,3.893162520317719e-44
4,zesty,2.0261363987695597e-51
5,zesty,4.240459275168045e-64
6,zesty,6.301535376485289e-35
7,zesty,3.6200346338023906e-56
8,zesty,5.653377617922681e-48
9,zesty,2.203431755417302e-53
10,zesty,9.961102851910129e-57
1,battered,5.979692651581615e-51
2,battered,3.0067022224336516e-63
3,battered,0.003060371655271211
4,battered,2.338094976236035e-15
5,battered,2.4788733842199498e-33
6,battered,6.939361460840823e-22
7,battered,0.022260992898569983
8,battered,4.792168203378838e-26
9,battered,3.121703186350934e-17
10,battered,4.8223990538074314e-43
1,drizzled,7.204961971268814e-81
2,drizzled,1.5625839109539816e-72
3,drizzled,5.5644346471553956e-45
4,drizzled,4.2543880402329134e-54
5,drizzled,0.011628217317837631
6,drizzled,7.927891838048832e-48
